Plate	Well	Compound Id	Batch	Form	Conc	Volume
P110169	G23	DMSO	DMSO	DMSO	10.0	90.0
P110169	H23	DMSO	DMSO	DMSO	10.0	90.0
P110169	I23	DMSO	DMSO	DMSO	10.0	90.0
P110169	J23	DMSO	DMSO	DMSO	10.0	90.0
P110169	K23	DMSO	DMSO	DMSO	10.0	90.0
P110169	L23	DMSO	DMSO	DMSO	10.0	90.0
P110169	M23	DMSO	DMSO	DMSO	10.0	90.0
P110169	N23	DMSO	DMSO	DMSO	10.0	90.0
P110169	O23	DMSO	DMSO	DMSO	10.0	90.0
P110169	P23	DMSO	DMSO	DMSO	10.0	90.0
P110169	A24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110169	B24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110169	C24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110169	D24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110169	E24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110169	F24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110169	G24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110169	H24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110169	I24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110169	J24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110169	K24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110169	L24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110169	M24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110169	N24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110169	O24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110169	P24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110170	A01	CBK394941	DL1005204	DMSO	10.0	90.0
P110170	B01	CBK000460C	248022012	DMSO	10.0	90.0
P110170	C01	CBK270201	BA1040678	DMSO	10.0	90.0
P110170	D01	CBK286872	BJ1840018	DMSO	10.0	90.0
P110170	E01	CBK340140	DI1241853	DMSO	10.0	90.0
P110170	F01	CBK418912	DL1030276	DMSO	10.0	90.0
P110170	G01	CBK040953	176271191	DMSO	10.0	90.0
P110170	H01	CBK000338	274362003	DMSO	10.0	90.0
P110170	I01	CBK003726C	BJ1885002	DMSO	10.0	90.0
P110170	J01	CBK067275	E59300336	DMSO	10.0	90.0
P110170	A02	CBK394941	DL1005204	DMSO	3.33	90.0
P110170	B02	CBK000460C	248022012	DMSO	3.33	90.0
P110170	C02	CBK270201	BA1040678	DMSO	3.33	90.0
P110170	D02	CBK286872	BJ1840018	DMSO	3.33	90.0
P110170	E02	CBK340140	DI1241853	DMSO	3.33	90.0
P110170	F02	CBK418912	DL1030276	DMSO	3.33	90.0
P110170	G02	CBK040953	176271191	DMSO	3.33	90.0
P110170	H02	CBK000338	274362003	DMSO	3.33	90.0
P110170	I02	CBK003726C	BJ1885002	DMSO	3.33	90.0
P110170	J02	CBK067275	E59300336	DMSO	3.33	90.0
P110170	A03	CBK394941	DL1005204	DMSO	1.11	90.0
P110170	B03	CBK000460C	248022012	DMSO	1.11	90.0
P110170	C03	CBK270201	BA1040678	DMSO	1.11	90.0
P110170	D03	CBK286872	BJ1840018	DMSO	1.11	90.0
P110170	E03	CBK340140	DI1241853	DMSO	1.11	90.0
P110170	F03	CBK418912	DL1030276	DMSO	1.11	90.0
P110170	G03	CBK040953	176271191	DMSO	1.11	90.0
P110170	H03	CBK000338	274362003	DMSO	1.11	90.0
P110170	I03	CBK003726C	BJ1885002	DMSO	1.11	90.0
P110170	J03	CBK067275	E59300336	DMSO	1.11	90.0
P110170	A04	CBK394941	DL1005204	DMSO	0.3	90.0
P110170	B04	CBK000460C	248022012	DMSO	0.3	90.0
P110170	C04	CBK270201	BA1040678	DMSO	0.3	90.0
P110170	D04	CBK286872	BJ1840018	DMSO	0.3	90.0
P110170	E04	CBK340140	DI1241853	DMSO	0.3	90.0
P110170	F04	CBK418912	DL1030276	DMSO	0.3	90.0
P110170	G04	CBK040953	176271191	DMSO	0.3	90.0
P110170	H04	CBK000338	274362003	DMSO	0.3	90.0
P110170	I04	CBK003726C	BJ1885002	DMSO	0.3	90.0
P110170	J04	CBK067275	E59300336	DMSO	0.3	90.0
P110170	A05	CBK394941	DL1005204	DMSO	0.1	90.0
P110170	B05	CBK000460C	248022012	DMSO	0.1	90.0
P110170	C05	CBK270201	BA1040678	DMSO	0.1	90.0
P110170	D05	CBK286872	BJ1840018	DMSO	0.1	90.0
P110170	E05	CBK340140	DI1241853	DMSO	0.1	90.0
P110170	F05	CBK418912	DL1030276	DMSO	0.1	90.0
P110170	G05	CBK040953	176271191	DMSO	0.1	90.0
P110170	H05	CBK000338	274362003	DMSO	0.1	90.0
P110170	I05	CBK003726C	BJ1885002	DMSO	0.1	90.0
P110170	J05	CBK067275	E59300336	DMSO	0.1	90.0
P110170	A06	CBK394941	DL1005204	DMSO	0.0333	90.0
P110170	B06	CBK000460C	248022012	DMSO	0.0333	90.0
P110170	C06	CBK270201	BA1040678	DMSO	0.0333	90.0
P110170	D06	CBK286872	BJ1840018	DMSO	0.0333	90.0
P110170	E06	CBK340140	DI1241853	DMSO	0.0333	90.0
P110170	F06	CBK418912	DL1030276	DMSO	0.0333	90.0
P110170	G06	CBK040953	176271191	DMSO	0.0333	90.0
P110170	H06	CBK000338	274362003	DMSO	0.0333	90.0
P110170	I06	CBK003726C	BJ1885002	DMSO	0.0333	90.0
P110170	J06	CBK067275	E59300336	DMSO	0.0333	90.0
P110170	A07	CBK394941	DL1005204	DMSO	0.009	90.0
P110170	B07	CBK000460C	248022012	DMSO	0.009	90.0
P110170	C07	CBK270201	BA1040678	DMSO	0.009	90.0
P110170	D07	CBK286872	BJ1840018	DMSO	0.009	90.0
P110170	E07	CBK340140	DI1241853	DMSO	0.009	90.0
P110170	F07	CBK418912	DL1030276	DMSO	0.009	90.0
P110170	G07	CBK040953	176271191	DMSO	0.009	90.0
P110170	H07	CBK000338	274362003	DMSO	0.009	90.0
P110170	I07	CBK003726C	BJ1885002	DMSO	0.009	90.0
P110170	J07	CBK067275	E59300336	DMSO	0.009	90.0
P110170	A08	CBK394941	DL1005204	DMSO	0.003	90.0
P110170	B08	CBK000460C	248022012	DMSO	0.003	90.0
P110170	C08	CBK270201	BA1040678	DMSO	0.003	90.0
P110170	D08	CBK286872	BJ1840018	DMSO	0.003	90.0
P110170	E08	CBK340140	DI1241853	DMSO	0.003	90.0
P110170	F08	CBK418912	DL1030276	DMSO	0.003	90.0
P110170	G08	CBK040953	176271191	DMSO	0.003	90.0
P110170	H08	CBK000338	274362003	DMSO	0.003	90.0
P110170	I08	CBK003726C	BJ1885002	DMSO	0.003	90.0
P110170	J08	CBK067275	E59300336	DMSO	0.003	90.0
P110170	A09	CBK394941	DL1005204	DMSO	0.001	90.0
P110170	B09	CBK000460C	248022012	DMSO	0.001	90.0
P110170	C09	CBK270201	BA1040678	DMSO	0.001	90.0
P110170	D09	CBK286872	BJ1840018	DMSO	0.001	90.0
P110170	E09	CBK340140	DI1241853	DMSO	0.001	90.0
P110170	F09	CBK418912	DL1030276	DMSO	0.001	90.0
P110170	G09	CBK040953	176271191	DMSO	0.001	90.0
P110170	H09	CBK000338	274362003	DMSO	0.001	90.0
P110170	I09	CBK003726C	BJ1885002	DMSO	0.001	90.0
P110170	J09	CBK067275	E59300336	DMSO	0.001	90.0
P110170	A10	CBK394941	DL1005204	DMSO	0.00027	90.0
P110170	B10	CBK000460C	248022012	DMSO	0.00027	90.0
P110170	C10	CBK270201	BA1040678	DMSO	0.00027	90.0
P110170	D10	CBK286872	BJ1840018	DMSO	0.00027	90.0
P110170	E10	CBK340140	DI1241853	DMSO	0.00027	90.0
P110170	F10	CBK418912	DL1030276	DMSO	0.00027	90.0
P110170	G10	CBK040953	176271191	DMSO	0.00027	90.0
P110170	H10	CBK000338	274362003	DMSO	0.00027	90.0
P110170	I10	CBK003726C	BJ1885002	DMSO	0.00027	90.0
P110170	J10	CBK067275	E59300336	DMSO	0.00027	90.0
P110170	A11	CBK394941	DL1005204	DMSO	9.0e-05	90.0
P110170	B11	CBK000460C	248022012	DMSO	9.0e-05	90.0
P110170	C11	CBK270201	BA1040678	DMSO	9.0e-05	90.0
P110170	D11	CBK286872	BJ1840018	DMSO	9.0e-05	90.0
P110170	E11	CBK340140	DI1241853	DMSO	9.0e-05	90.0
P110170	F11	CBK418912	DL1030276	DMSO	9.0e-05	90.0
P110170	G11	CBK040953	176271191	DMSO	9.0e-05	90.0
P110170	H11	CBK000338	274362003	DMSO	9.0e-05	90.0
P110170	I11	CBK003726C	BJ1885002	DMSO	9.0e-05	90.0
P110170	J11	CBK067275	E59300336	DMSO	9.0e-05	90.0
P110170	A12	CBK017343	176250105	DMSO	10.0	90.0
P110170	B12	CBK037563	305059732	DMSO	10.0	90.0
P110170	C12	CBK289704	BJ1832998	DMSO	10.0	90.0
P110170	D12	CBK325494	DI1226045	DMSO	10.0	90.0
P110170	E12	CBK402354	DL1013131	DMSO	10.0	90.0
P110170	F12	CBK040942	176271178	DMSO	10.0	90.0
P110170	G12	CBK041249	176271554	DMSO	10.0	90.0
P110170	H12	CBK003728C	284768010	DMSO	10.0	90.0
P110170	I12	CBK177039T	AG8540034	DMSO	10.0	90.0
P110170	J12	CBK291257	BJ1840217	DMSO	10.0	90.0
P110170	A13	CBK017343	176250105	DMSO	3.33	90.0
P110170	B13	CBK037563	305059732	DMSO	3.33	90.0
P110170	C13	CBK289704	BJ1832998	DMSO	3.33	90.0
P110170	D13	CBK325494	DI1226045	DMSO	3.33	90.0
P110170	E13	CBK402354	DL1013131	DMSO	3.33	90.0
P110170	F13	CBK040942	176271178	DMSO	3.33	90.0
P110170	G13	CBK041249	176271554	DMSO	3.33	90.0
P110170	H13	CBK003728C	284768010	DMSO	3.33	90.0
P110170	I13	CBK177039T	AG8540034	DMSO	3.33	90.0
P110170	J13	CBK291257	BJ1840217	DMSO	3.33	90.0
P110170	A14	CBK017343	176250105	DMSO	1.11	90.0
P110170	B14	CBK037563	305059732	DMSO	1.11	90.0
P110170	C14	CBK289704	BJ1832998	DMSO	1.11	90.0
P110170	D14	CBK325494	DI1226045	DMSO	1.11	90.0
P110170	E14	CBK402354	DL1013131	DMSO	1.11	90.0
P110170	F14	CBK040942	176271178	DMSO	1.11	90.0
P110170	G14	CBK041249	176271554	DMSO	1.11	90.0
P110170	H14	CBK003728C	284768010	DMSO	1.11	90.0
P110170	I14	CBK177039T	AG8540034	DMSO	1.11	90.0
P110170	J14	CBK291257	BJ1840217	DMSO	1.11	90.0
P110170	A15	CBK017343	176250105	DMSO	0.3	90.0
P110170	B15	CBK037563	305059732	DMSO	0.3	90.0
P110170	C15	CBK289704	BJ1832998	DMSO	0.3	90.0
P110170	D15	CBK325494	DI1226045	DMSO	0.3	90.0
P110170	E15	CBK402354	DL1013131	DMSO	0.3	90.0
P110170	F15	CBK040942	176271178	DMSO	0.3	90.0
P110170	G15	CBK041249	176271554	DMSO	0.3	90.0
P110170	H15	CBK003728C	284768010	DMSO	0.3	90.0
P110170	I15	CBK177039T	AG8540034	DMSO	0.3	90.0
P110170	J15	CBK291257	BJ1840217	DMSO	0.3	90.0
P110170	A16	CBK017343	176250105	DMSO	0.1	90.0
P110170	B16	CBK037563	305059732	DMSO	0.1	90.0
P110170	C16	CBK289704	BJ1832998	DMSO	0.1	90.0
P110170	D16	CBK325494	DI1226045	DMSO	0.1	90.0
P110170	E16	CBK402354	DL1013131	DMSO	0.1	90.0
P110170	F16	CBK040942	176271178	DMSO	0.1	90.0
P110170	G16	CBK041249	176271554	DMSO	0.1	90.0
P110170	H16	CBK003728C	284768010	DMSO	0.1	90.0
P110170	I16	CBK177039T	AG8540034	DMSO	0.1	90.0
P110170	J16	CBK291257	BJ1840217	DMSO	0.1	90.0
P110170	A17	CBK017343	176250105	DMSO	0.0333	90.0
P110170	B17	CBK037563	305059732	DMSO	0.0333	90.0
P110170	C17	CBK289704	BJ1832998	DMSO	0.0333	90.0
P110170	D17	CBK325494	DI1226045	DMSO	0.0333	90.0
P110170	E17	CBK402354	DL1013131	DMSO	0.0333	90.0
P110170	F17	CBK040942	176271178	DMSO	0.0333	90.0
P110170	G17	CBK041249	176271554	DMSO	0.0333	90.0
P110170	H17	CBK003728C	284768010	DMSO	0.0333	90.0
P110170	I17	CBK177039T	AG8540034	DMSO	0.0333	90.0
P110170	J17	CBK291257	BJ1840217	DMSO	0.0333	90.0
P110170	A18	CBK017343	176250105	DMSO	0.009	90.0
P110170	B18	CBK037563	305059732	DMSO	0.009	90.0
P110170	C18	CBK289704	BJ1832998	DMSO	0.009	90.0
P110170	D18	CBK325494	DI1226045	DMSO	0.009	90.0
P110170	E18	CBK402354	DL1013131	DMSO	0.009	90.0
P110170	F18	CBK040942	176271178	DMSO	0.009	90.0
P110170	G18	CBK041249	176271554	DMSO	0.009	90.0
P110170	H18	CBK003728C	284768010	DMSO	0.009	90.0
P110170	I18	CBK177039T	AG8540034	DMSO	0.009	90.0
P110170	J18	CBK291257	BJ1840217	DMSO	0.009	90.0
P110170	A19	CBK017343	176250105	DMSO	0.003	90.0
P110170	B19	CBK037563	305059732	DMSO	0.003	90.0
P110170	C19	CBK289704	BJ1832998	DMSO	0.003	90.0
P110170	D19	CBK325494	DI1226045	DMSO	0.003	90.0
P110170	E19	CBK402354	DL1013131	DMSO	0.003	90.0
P110170	F19	CBK040942	176271178	DMSO	0.003	90.0
P110170	G19	CBK041249	176271554	DMSO	0.003	90.0
P110170	H19	CBK003728C	284768010	DMSO	0.003	90.0
P110170	I19	CBK177039T	AG8540034	DMSO	0.003	90.0
P110170	J19	CBK291257	BJ1840217	DMSO	0.003	90.0
P110170	A20	CBK017343	176250105	DMSO	0.001	90.0
P110170	B20	CBK037563	305059732	DMSO	0.001	90.0
P110170	C20	CBK289704	BJ1832998	DMSO	0.001	90.0
P110170	D20	CBK325494	DI1226045	DMSO	0.001	90.0
P110170	E20	CBK402354	DL1013131	DMSO	0.001	90.0
P110170	F20	CBK040942	176271178	DMSO	0.001	90.0
P110170	G20	CBK041249	176271554	DMSO	0.001	90.0
P110170	H20	CBK003728C	284768010	DMSO	0.001	90.0
P110170	I20	CBK177039T	AG8540034	DMSO	0.001	90.0
P110170	J20	CBK291257	BJ1840217	DMSO	0.001	90.0
P110170	A21	CBK017343	176250105	DMSO	0.00027	90.0
P110170	B21	CBK037563	305059732	DMSO	0.00027	90.0
P110170	C21	CBK289704	BJ1832998	DMSO	0.00027	90.0
P110170	D21	CBK325494	DI1226045	DMSO	0.00027	90.0
P110170	E21	CBK402354	DL1013131	DMSO	0.00027	90.0
P110170	F21	CBK040942	176271178	DMSO	0.00027	90.0
P110170	G21	CBK041249	176271554	DMSO	0.00027	90.0
P110170	H21	CBK003728C	284768010	DMSO	0.00027	90.0
P110170	I21	CBK177039T	AG8540034	DMSO	0.00027	90.0
P110170	J21	CBK291257	BJ1840217	DMSO	0.00027	90.0
P110170	A22	CBK017343	176250105	DMSO	9.0e-05	90.0
P110170	B22	CBK037563	305059732	DMSO	9.0e-05	90.0
P110170	C22	CBK289704	BJ1832998	DMSO	9.0e-05	90.0
P110170	D22	CBK325494	DI1226045	DMSO	9.0e-05	90.0
P110170	E22	CBK402354	DL1013131	DMSO	9.0e-05	90.0
P110170	F22	CBK040942	176271178	DMSO	9.0e-05	90.0
P110170	G22	CBK041249	176271554	DMSO	9.0e-05	90.0
P110170	H22	CBK003728C	284768010	DMSO	9.0e-05	90.0
P110170	I22	CBK177039T	AG8540034	DMSO	9.0e-05	90.0
P110170	J22	CBK291257	BJ1840217	DMSO	9.0e-05	90.0
P110170	A23	DMSO	DMSO	DMSO	10.0	90.0
P110170	B23	DMSO	DMSO	DMSO	10.0	90.0
P110170	C23	DMSO	DMSO	DMSO	10.0	90.0
P110170	D23	DMSO	DMSO	DMSO	10.0	90.0
P110170	E23	DMSO	DMSO	DMSO	10.0	90.0
P110170	F23	DMSO	DMSO	DMSO	10.0	90.0
P110170	G23	DMSO	DMSO	DMSO	10.0	90.0
P110170	H23	DMSO	DMSO	DMSO	10.0	90.0
P110170	I23	DMSO	DMSO	DMSO	10.0	90.0
P110170	J23	DMSO	DMSO	DMSO	10.0	90.0
P110170	K23	DMSO	DMSO	DMSO	10.0	90.0
P110170	L23	DMSO	DMSO	DMSO	10.0	90.0
P110170	M23	DMSO	DMSO	DMSO	10.0	90.0
P110170	N23	DMSO	DMSO	DMSO	10.0	90.0
P110170	O23	DMSO	DMSO	DMSO	10.0	90.0
P110170	P23	DMSO	DMSO	DMSO	10.0	90.0
P110170	A24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110170	B24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110170	C24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110170	D24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110170	E24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110170	F24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110170	G24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110170	H24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110170	I24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110170	J24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110170	K24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110170	L24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110170	M24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110170	N24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110170	O24	BACKFILL	BACKFILL	DMSO	0.0	80.0
P110170	P24	BACKFILL	BACKFILL	DMSO	0.0	80.0
